rooms, area, floor, year, bathrooms, kitchens, link, zone, price
4, 100, 2, 1985, 3, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/piata-voievozilor/apartament-de-inchiriat-4-camere-casa-alba-166ai, Zona Piata Voievozilor, 850
2, 60, 0, 1955, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/piata-voievozilor/apartament-de-inchiriat-2-camere-casa-alba-14zad, Zona Piata Voievozilor, 460
2, 50, 0, 2010, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/copou/apartament-de-inchiriat-2-camere-casa-alba-14plv, Zona Copou, 350
2, 65, 0, 2019, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/copou/apartament-de-inchiriat-2-camere-casa-alba-14ef4, Zona Copou, 470
4, 80, 2, 1980, 2, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/piata-voievozilor/apartament-de-inchiriat-4-camere-casa-alba-14cpb, Zona Piata Voievozilor, 500
1, 40, 1, 1990, 0, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/piata-voievozilor/garsoniera-de-inchiriat-casa-alba-14c9c, Zona Piata Voievozilor, 320
1, 27, 2, 1980, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/bularga/garsoniera-de-inchiriat-fidelia-casa-174b2, Zona Bularga, 180
3, 50, 2, 1977, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/tatarasi/apartament-de-inchiriat-3-camere-go-imobiliare-174p4, Zona Tatarasi, 275
1, 30, 0, 1980, 1, 1, https://www.titirez.ro/inchirieri-garsoniere/iasi/zona-centrala/garsoniera-de-inchiriat-go-imobiliare-16p01, Zona Zona Centrala, 250
2, 50, 4, 2018, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/copou/apartament-de-inchiriat-2-camere-go-imobiliare-16nhf, Zona Copou, 400
1, 36, 0, 2019, 1, 1, https://www.titirez.ro/vanzari-garsoniere/iasi/aviatiei/garsoniera-de-vanzare-go-imobiliare-16lz7, Zona Aviatiei, 200
2, 80, 1, 2008, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/moara-de-vant/apartament-de-inchiriat-2-camere-go-imobiliare-14p20, , 450
2, 82, 1, 2006, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/moara-de-vant/apartament-de-inchiriat-2-camere-go-imobiliare-136ug, , 450
2, 43, 1, 2018, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/pacurari/apartament-de-inchiriat-2-camere-fidelia-casa-16bqy, Zona Pacurari, 250
2, 48, 3, 1975, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/tudor-vladimirescu/apartament-de-inchiriat-2-camere-better-ha-12h5p, Zona Tudor Vladimirescu, 300
1, 26, 1, 1980, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/nicolina/garsoniera-de-inchiriat-premier-grup-est-1756m, Zona Nicolina, 180
3, 76, 4, 1986, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/podul-de-fier/apartament-de-inchiriat-3-camere-kardinal-residence-1753l, Zona Podul de Fier, 450
3, 80, 1, 2020, 2, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/podul-de-fier/apartament-de-inchiriat-3-camere-kardinal-residence-174lm, Zona Podul de Fier, 480
2, 54, 2, 1988, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/targu-cucu/apartament-de-inchiriat-2-camere-kardinal-residence-174lf, Zona Targu Cucu, 350
1, 33, 3, 2019, 1, 1, https://www.titirez.ro/inchirieri-garsoniere/iasi/cug/garsoniera-de-inchiriat-optim-rezidential-16vy3, Zona CUG, 210
2, 56, 1, 1991, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/aeroport/apartament-de-inchiriat-2-camere-kardinal-residence-174le, , 350
2, 52, 1, 1972, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/podu-ros/apartament-de-inchiriat-2-camere-premier-grup-est-173y0, Zona Podu Ros, 250
3, 70, 1, 2018, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/copou/apartament-de-inchiriat-3-camere-kardinal-residence-174e7, Zona Copou, 390
3, 82, 2, 1980, 2, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/podu-ros/apartament-de-inchiriat-3-camere-kardinal-residence-174e6, Zona Podu Ros, 360
3, 63, 2, 2006, 2, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/tatarasi/apartament-de-inchiriat-3-camere-fidelia-casa-17349, Zona Tatarasi, 350
2, 48, 0, 1982, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/centrul-civic/apartament-de-inchiriat-2-camere-premier-grup-est-17455, Zona Centrul Civic, 350
2, 60, 3, 2017, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/tudor-vladimirescu/apartament-de-inchiriat-2-camere-kardinal-residence-173l6, Zona Tudor Vladimirescu, 380
2, 40, 1, 2015, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/aeroport/apartament-de-inchiriat-2-camere-kardinal-residence-173l2, , 380
1, 26, 1, 1980, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/galata/garsoniera-de-inchiriat-premier-grup-est-173bb, Zona Galata, 200
1, 26, 2, 1980, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/nicolina/garsoniera-de-inchiriat-premier-grup-est-173b2, Zona Nicolina, 180
1, 24, 2, 1979, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/nicolina/garsoniera-de-inchiriat-fidelia-casa-172ui, Zona Nicolina, 190
2, 58, 2, 2010, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/copou/apartament-de-inchiriat-2-camere-fidelia-casa-12jpf, Zona Copou, 500
